song_name,sdr_bass,sdr_drums,sdr_other,sdr_vocals
whiskey-in-the-jar_bass+guitar+vocals,17.24628,,9.731249,9.101907
the-house-of-the-rising-sun_bass+piano+vocals,13.732371,,9.363525,8.200683
wayfaring-stranger_bass+guitar+percussion+vocals,5.16936,-2.937543,0.090647556,12.27549
the-house-of-the-rising-sun_bass+guitar+percussion+vocals,14.658164,-5.074971,5.157796,9.709151
black-is-the-colour_piano+vocals,,,13.36781,10.761143
whiskey-in-the-jar_guitar+vocals,,,-11.295786,11.128616
whiskey-in-the-jar_bass+guitar+percussion+vocals,14.912009,-9.671172,6.4260483,8.587618
wayfaring-stranger_guitar+vocals,,,2.9864213,16.38036
wayfaring-stranger_bass+guitar+vocals,9.029076,,0.6404525,11.579528
the-house-of-the-rising-sun_piano+vocals,,,-11.214455,9.118259
black-is-the-colour_bass+piano+vocals,15.907497,,8.62007,9.091781
