song_name,sdr_bass,sdr_drums,sdr_other,sdr_vocals
Side Effects Project - Sing With Me,14.535135,15.502815,0.5967151,12.955595
Little Chicago_s Finest - My Own,7.470774,7.3797803,-2.902212,9.02626
The Easton Ellises - Falcon 69,7.1011357,9.97436,1.9586062,3.8335228
Secretariat - Over The Top,12.061323,9.087702,7.6144023,10.08765
Buitraker - Revo X,11.1408415,14.449827,3.687942,5.124569
BKS - Too Much,13.367392,10.417772,4.70693,12.48732
Ben Carrigan - We_ll Talk About It All Tonight,12.983599,9.662095,5.1426897,5.2430253
M.E.R.C. Music - Knockout,12.493542,11.522952,6.4158816,9.896389
Skelpolu - Resurrection,15.0164795,13.29372,4.626812,-2.0622408
Detsky Sad - Walkie Talkie,2.2016425,4.6998777,0.2131361,4.549098
Speak Softly - Like Horses,21.402576,7.8657722,7.380246,8.320725
AM Contra - Heart Peripheral,-2.5831735,7.6614237,-9.797116,11.846128
Louis Cressy Band - Good Time,10.03953,9.976618,8.222969,10.553268
Cristina Vane - So Easy,5.8841925,13.288394,4.6000996,10.530283
The Mountaineering Club - Mallory,12.0102005,12.754579,5.6579294,12.370109
Speak Softly - Broken Man,17.39484,10.378601,8.623279,6.0504
PR - Oh No,1.7313434,10.290216,-2.2379296,1.1696954
Carlos Gonzalez - A Place For Us,0.41405398,6.3957634,5.407586,7.738469
We Fell From The Sky - Not You,3.6181226,12.131222,7.7865505,6.160603
Girls Under Glass - We Feel Alright,4.195619,8.914956,4.5164638,5.628625
Secretariat - Borderline,4.7960176,6.6491346,8.268902,8.045386
Triviul feat. The Fiend - Widow,15.788417,8.043426,3.3199203,9.785944
Punkdisco - Oral Hygiene,3.7459545,4.909296,-0.9838805,9.0205965
Timboz - Pony,0.86259305,3.9870725,7.785916,4.570116
James Elder & Mark M Thompson - The English Actor,7.763524,10.450075,6.8510113,7.973665
The Sunshine Garcia Band - For I Am The Moon,9.697998,9.978199,1.2297434,10.031227
Forkupines - Semantics,6.743798,12.786842,5.278536,7.612455
Raft Monk - Tiring,8.276038,8.623366,3.9971704,4.834934
The Easton Ellises (Baumi) - SDRNR,8.02602,11.352892,0.80185044,6.260687
Nerve 9 - Pray For The Rain,7.4177876,13.031311,6.6943445,8.421271
Signe Jakobsen - What Have You Done To Me,3.0643196,5.3919973,4.013236,11.181035
Tom McKenzie - Directions,4.350565,15.518133,1.1680453,10.850481
Hollow Ground - Ill Fate,-0.022825181,5.6553564,5.4901733,6.980921
Motor Tapes - Shore,11.9173,8.948317,10.271472,9.195894
Sambasevam Shanmugam - Kaathaadi,10.933614,6.9705067,8.841175,14.300609
Lyndsey Ollard - Catching Up,11.953039,9.039797,4.5264225,11.57342
Arise - Run Run Run,7.6100225,-3.8960469,-6.7259054,11.376316
Georgia Wonder - Siren,13.113908,10.613937,6.17732,5.3346057
PR - Happy Daze,9.820132,17.901386,8.430353,-5.7766905
Bobby Nobody - Stitch Up,8.166683,6.492996,5.3897486,9.623668
The Doppler Shift - Atrophy,-0.56240475,8.831623,5.2935166,9.141986
Angels In Amplifiers - I_m Alright,10.115789,7.8061657,7.2272444,11.038479
Al James - Schoolboy Facination,9.882177,6.6230984,-1.09968,7.5135465
Enda Reilly - Cur An Long Ag Seol,10.124126,13.097418,7.789837,11.633768
Mu - Too Bright,4.5157437,15.668316,5.415175,10.298185
The Long Wait - Dark Horses,8.346838,8.504542,6.1820803,9.25305
Moosmusic - Big Dummy Shake,8.42945,12.175436,6.4097743,10.742188
Zeno - Signs,1.8437204,9.672803,6.3067365,8.78554
BKS - Bulldozer,9.648982,12.070388,5.560965,3.2401361
Juliet_s Rescue - Heartbeats,0.68515193,15.084684,4.8975906,8.898316
